id;start_time;finish_time;duration;host
req-19-255596017_1;0.4267;0.5267;0.1;bus_stop_16
req-14-255595787_1;0.4267;0.5267;0.1;bus_stop_16
req-21-1480037096_1;0.427;0.527;0.1;bus_stop_16
req-26-255190984_0;0.4337;0.5337;0.1;bus_stop_3
req-26-255200263_0;0.4337;0.5337;0.1;bus_stop_2
req-26-2569087094_0;0.4337;0.5337;0.1;bus_stop_2
req-26-255191060_0;0.4337;0.5337;0.1;bus_stop_16
req-26-4414627711_0;0.4352;0.5352;0.1;bus_stop_2
req-26-2569086820_0;0.4352;0.5352;0.1;bus_stop_2
req-26-1451034444_0;0.4352;0.5352;0.1;bus_stop_3
req-26-581942559_0;0.4354;0.5354;0.1;bus_stop_3
req-27-11383382298_0;0.436;0.536;0.1;bus_stop_3
req-27-11383367766_0;0.4373;0.5373;0.1;bus_stop_4
req-27-255596028_0;0.4373;0.5373;0.1;bus_stop_4
req-28-236868307_0;0.4376;0.5376;0.1;bus_stop_4
req-27-255191075_0;0.4376;0.5376;0.1;bus_stop_4
req-28-581942879_0;0.4401;0.5401;0.1;bus_stop_5
req-28-255200417_0;0.4401;0.5401;0.1;bus_stop_5
req-28-1469068934_0;0.4401;0.5401;0.1;bus_stop_5
req-28-236864890_0;0.4401;0.5401;0.1;bus_stop_5
req-29-1432574941_0;0.4404;0.5404;0.1;bus_stop_6
req-29-1432574918_0;0.4404;0.5404;0.1;bus_stop_6
req-29-10915667490_0;0.4404;0.5404;0.1;bus_stop_6
req-24-1480037098_1;0.4404;0.5404;0.1;bus_stop_6
req-0-4414627711_1;0.4413;0.5413;0.1;bus_stop_7
req-1-11383367761_1;0.4414;0.5414;0.1;bus_stop_7
req-29-1371509882_0;0.4419;0.5419;0.1;bus_stop_7
req-7-1432574984_1;0.4436;0.5436;0.1;bus_stop_7
req-29-1371510260_0;0.444;0.544;0.1;bus_stop_8
req-8-1432574901_1;0.444;0.544;0.1;bus_stop_8
req-30-11383382298_0;0.4451;0.5451;0.1;bus_stop_8
req-29-1371510304_0;0.4451;0.5451;0.1;bus_stop_8
req-30-255596094_0;0.4457;0.5457;0.1;bus_stop_9
req-19-10915667367_1;0.447;0.547;0.1;bus_stop_9
req-30-255596028_0;0.4472;0.5472;0.1;bus_stop_9
req-30-255596112_0;0.4472;0.5472;0.1;bus_stop_9
req-4-255191075_1;0.5018;0.6018;0.1;bus_stop_0
req-2-11383382298_1;0.5018;0.6018;0.1;bus_stop_0
req-6-255596808_1;0.5022;0.6022;0.1;bus_stop_1
req-9-9983238121_1;0.5026;0.6026;0.1;bus_stop_0
req-9-1371510111_1;0.5028;0.6028;0.1;bus_stop_0
req-15-1451034453_1;0.5038;0.6038;0.1;bus_stop_1
req-15-581942058_1;0.5038;0.6038;0.1;bus_stop_1
req-15-255191437_1;0.5049;0.6049;0.1;bus_stop_1
req-14-10915667347_1;0.5066;0.6066;0.1;bus_stop_10
req-15-255191472_1;0.5074;0.6074;0.1;bus_stop_10
req-14-11378562276_1;0.5074;0.6074;0.1;bus_stop_10
req-11-10915667347_1;0.5074;0.6074;0.1;bus_stop_10
req-15-1480037114_1;0.5105;0.6105;0.1;bus_stop_11
req-16-255190788_1;0.5112;0.6112;0.1;bus_stop_11
req-17-255200029_1;0.5125;0.6125;0.1;bus_stop_11
req-17-255191048_1;0.5125;0.6125;0.1;bus_stop_11
req-20-9983238121_1;0.5134;0.6134;0.1;bus_stop_12
req-18-1371510111_1;0.5134;0.6134;0.1;bus_stop_12
req-18-9983238121_1;0.5134;0.6134;0.1;bus_stop_12
req-30-255596018_0;0.5182;0.6182;0.1;bus_stop_12
req-30-11383367766_0;0.5217;0.6217;0.1;bus_stop_13
req-1-255596028_2;0.5219;0.6219;0.1;bus_stop_13
req-14-10915667342_1;0.5224;0.6224;0.1;bus_stop_13
req-30-255191075_0;0.5224;0.6224;0.1;bus_stop_14
req-16-10915667297_1;0.5227;0.6227;0.1;bus_stop_13
req-30-2569086736_0;0.524;0.624;0.1;bus_stop_14
req-31-255190812_0;0.526;0.626;0.1;bus_stop_15
req-31-255190788_0;0.526;0.626;0.1;bus_stop_15
req-31-255190832_0;0.526;0.626;0.1;bus_stop_14
req-31-1480037112_0;0.526;0.626;0.1;bus_stop_14
req-31-2569108697_0;0.5263;0.6263;0.1;bus_stop_15
req-32-1432574984_0;0.5267;0.6267;0.1;bus_stop_16
req-32-1432574929_0;0.5267;0.6267;0.1;bus_stop_16
req-32-1432574869_0;0.5267;0.6267;0.1;bus_stop_15
req-25-12146794_1;0.5271;0.6271;0.1;bus_stop_16
req-32-8255515226_0;0.5339;0.6339;0.1;bus_stop_3
req-33-2569086820_0;0.5339;0.6339;0.1;bus_stop_2
req-33-255190984_0;0.5339;0.6339;0.1;bus_stop_2
req-32-1432574912_0;0.5339;0.6339;0.1;bus_stop_16
req-33-236868307_0;0.5358;0.6358;0.1;bus_stop_3
req-33-9143229517_0;0.5358;0.6358;0.1;bus_stop_3
req-33-2569086698_0;0.5358;0.6358;0.1;bus_stop_2
req-33-1469068918_0;0.5358;0.6358;0.1;bus_stop_2
req-34-1480037114_0;0.5362;0.6362;0.1;bus_stop_3
req-23-1371509865_1;0.5374;0.6374;0.1;bus_stop_4
req-22-255596112_1;0.5374;0.6374;0.1;bus_stop_4
req-34-1480037132_0;0.538;0.638;0.1;bus_stop_4
req-34-12146794_0;0.538;0.638;0.1;bus_stop_4
req-24-1480037096_1;0.5402;0.6402;0.1;bus_stop_5
req-35-255595921_0;0.5409;0.6409;0.1;bus_stop_6
req-35-12146782_0;0.5409;0.6409;0.1;bus_stop_6
req-35-2569086944_0;0.5409;0.6409;0.1;bus_stop_6
req-35-12146777_0;0.5409;0.6409;0.1;bus_stop_6
req-35-255596789_0;0.5409;0.6409;0.1;bus_stop_5
req-34-12146792_0;0.5409;0.6409;0.1;bus_stop_5
req-34-1480037106_0;0.5409;0.6409;0.1;bus_stop_5
req-35-12146784_0;0.5416;0.6416;0.1;bus_stop_7
req-35-1432574832_0;0.5416;0.6416;0.1;bus_stop_7
req-35-10915667367_0;0.542;0.642;0.1;bus_stop_7
req-35-255596017_0;0.5438;0.6438;0.1;bus_stop_7
req-36-2569086678_0;0.5443;0.6443;0.1;bus_stop_8
req-35-2923178604_0;0.5443;0.6443;0.1;bus_stop_8
req-36-255595787_0;0.5454;0.6454;0.1;bus_stop_8
req-36-1480037155_0;0.5454;0.6454;0.1;bus_stop_8
req-36-2569086780_0;0.5458;0.6458;0.1;bus_stop_9
req-19-2569086944_1;0.5472;0.6472;0.1;bus_stop_9
req-25-1480037132_1;0.5473;0.6473;0.1;bus_stop_9
req-36-11378562276_0;0.5475;0.6475;0.1;bus_stop_9
req-1-255596094_2;0.6019;0.7019;0.1;bus_stop_0
req-2-2570830451_2;0.602;0.702;0.1;bus_stop_0
req-5-1432574929_2;0.6025;0.7025;0.1;bus_stop_1
req-10-1371510111_1;0.6034;0.7034;0.1;bus_stop_0
req-10-12146760_1;0.6035;0.7035;0.1;bus_stop_0
req-10-1371509982_1;0.6039;0.7039;0.1;bus_stop_1
req-18-1371510515_1;0.6041;0.7041;0.1;bus_stop_1
req-18-1371509882_1;0.6052;0.7052;0.1;bus_stop_1
req-19-12146784_1;0.6068;0.7068;0.1;bus_stop_10
req-8-10915667416_1;0.6075;0.7075;0.1;bus_stop_10
req-21-1480037117_1;0.6077;0.7077;0.1;bus_stop_10
req-21-2569108697_1;0.6077;0.7077;0.1;bus_stop_10
req-22-11383367766_1;0.6107;0.7107;0.1;bus_stop_11
req-12-1451034432_2;0.6113;0.7113;0.1;bus_stop_11
req-22-255596094_1;0.6128;0.7128;0.1;bus_stop_11
req-22-255596018_1;0.6128;0.7128;0.1;bus_stop_11
req-23-12146767_1;0.6135;0.7135;0.1;bus_stop_12
req-22-255596028_1;0.6135;0.7135;0.1;bus_stop_12
req-13-255191459_2;0.6135;0.7135;0.1;bus_stop_12
req-21-1480037114_1;0.6184;0.7184;0.1;bus_stop_12
req-0-9143229517_2;0.6218;0.7218;0.1;bus_stop_13
req-0-1469068918_2;0.622;0.722;0.1;bus_stop_13
